52a89b4d098e71b2e5000419,宾利（进口） 雅致 Arnage Great Label 6.8L 1999.9-,HU 938/4 x
52a89b4d098e71b2e500041a,宾利（进口） 雅致 02款Arnage R 6.8L 2002-,W 930/13,,528af3e3098e718059002077,宾利(进口) 雅致 6.8 V8 Turbo Black Label (Seri 02/02 -> ,W 930/13
52a89b4d098e71b2e500041b,宾利（进口） 雅致 07款Arange T 6.8L 2007-
52a89b4d098e71b2e500041c,宾利（进口） 雅致 07款Arange Red Label 6.8L 2007-
52a89b4d098e71b2e500041d,宾利（进口） 雅致 07款Arange RL限量版 6.8L 2007-
52a89b4d098e71b2e500041f,宾利（进口） 欧陆 04款GT 6.0L 2004-
52a89b4d098e71b2e5000420,宾利（进口） 欧陆 05款Fliying Spur 6.0L 2005-
52a89b4d098e71b2e5000421,宾利（进口） 欧陆 07款GTC 6.0L 2007-
52a89b4d098e71b2e5000422,宾利（进口） 欧陆 10款Speed China 6.0L 2010-
52a89b4d098e71b2e5000423,宾利（进口） 欧陆 10款Supersports 6.0L 2010-
52a89b4d098e71b2e5000424,宾利（进口） 欧陆 11款GT 6.0L W12 2011-
52a89b4d098e71b2e5000425,宾利（进口） 欧陆 11款飞驰 6.0L 手自一体 2011-
52a89b4d098e71b2e5000426,宾利（进口） 欧陆 12款GT 4.0L V8 2012-
52a89b4d098e71b2e5000428,宾利（进口） 慕尚 10款 6.8T 手自一体 2010-
52a89b4d098e71b2e5000429,宾利（进口） 慕尚 12款 6.8T Diamond Jubilee 2012-
,,,,528af3e3098e718059002073,宾利(进口) 雅致 4.4 V8 32V Green Label (Series 04/98 -> ,HU 938/4 x

,,,,528af3e3098e71805900207b,宾利(进口) 雅致 6.8 V8 Turbo Red Label (Series 09/99 -> ,W 930/13
,,,,5294559c098e7144f90014ed,宾利(进口) 雅致 4.4 V8 32V Green Label (Series I) 04/98->
,,,,5294559c098e7144f90014f0,宾利(进口) 雅致 6.8 V8 Turbo Black Label (Series II) 02/02->
,,,,5294559c098e7144f90014f3,宾利(进口) 雅致 6.8 V8 Turbo Red Label (Series I) 09/99->
