ID,Mann Name,ID,LongFeng Name
52a89b74098e71b2e500076d,东南三菱汽车 戈蓝 07款 2.4L 2006-2009,528af399098e71805900005a,三菱 戈蓝 2.4L 09/06 -> 
52a89b74098e71b2e5000776,东南三菱汽车 蓝瑟  1.6L 2006-2012,528af399098e71805900006c,三菱 蓝瑟 1.6L 05/06 -> 
52a89b74098e71b2e500077e,东南三菱汽车 三菱翼神  2.0L 2010-,528af399098e718059000063,三菱 翼神 2.0L 11/09 -> 
528af39f098e718059000286,中华(华晨) 骏捷 1.5L 07/09 -> ,52a89bbb098e71b2e5000c86,华晨汽车中华 骏捷 CrosS1.5L 2009.06-
528af39f098e71805900028a,中华(华晨) 骏捷 1.6L 07/09 -> ,52a89bba098e71b2e5000c83,华晨汽车中华 骏捷 11款 1.6L 2010.07-
528af39f098e718059000293,中华(华晨) 骏捷 1.8L 12/08 -> ,52a89bba098e71b2e5000c84,华晨汽车中华 骏捷 11款 1.8L 2010.07-
528af39f098e718059000297,中华(华晨) 骏捷 1.8T 12/08 -> ,52a89bba098e71b2e5000c85,华晨汽车中华 骏捷 11款 1.8T 2010.07-
528af39f098e7180590002a4,中华(华晨) 酷宝 1.8T (M3) 09/07 -> ,52a89bbe098e71b2e5000c98,华晨汽车中华 酷宝 1.8T 2007.01/2009.04
528af39f098e7180590002cc,中华(华晨) 尊驰 1.8T (M1) 03/07 -> ,52a89bb8098e71b2e5000c79,华晨汽车中华 尊驰  1.8T 2009.07-
528af39f098e7180590002d2,中华(华晨) 尊驰 2.0L (M1) 12/04 -> 07/09,52a89bb9098e71b2e5000c7e,华晨汽车中华 尊驰  2.0L 2009.07-
52945534098e7144f90001bc,中华(华晨) 尊驰 2.0L (M1) 07/09->,52a89bb9098e71b2e5000c81,华晨汽车中华 尊驰  2.0L 2010.06-
52a89b88098e71b2e50008bf,丰田（进口） 埃尔法 10款 2.4L 2010.1-,528af3a0098e7180590002e7,丰田(进口) 埃尔法 2.4 04/08 -> 
52a89b88098e71b2e50008c0,丰田（进口） 埃尔法 10款 3.5L 2010.1-,528af3a0098e7180590002ef,丰田(进口) 埃尔法 3.5 V6 04/08 -> 
528af3a1098e71805900035e,丰田(一汽) 卡罗拉 1.6L 05/07 -> 09/10,52a89b7d098e71b2e500081a,一汽丰田 卡罗拉  1.6L 2007-
528af3a1098e718059000366,丰田(一汽) 卡罗拉 1.8L 05/07 -> 09/10,52a89b7e098e71b2e500081b,一汽丰田 卡罗拉  1.8L 2007-
528af3a1098e71805900036e,丰田(一汽) 卡罗拉 2.0L 09/10 -> 12/11,52a89b7e098e71b2e500081c,一汽丰田 卡罗拉  2.0L 2011-
528af3a1098e718059000389,丰田(一汽) 皇冠 2.5L 02/05 -> 11/09,52a89b7f098e71b2e5000828,一汽丰田 皇冠  2.5L 2005-2009
528af3a1098e71805900038b,丰田(一汽) 皇冠 3.0L 02/05 -> 11/09,52a89b7f098e71b2e5000826,一汽丰田 皇冠  3.0L 2005-2009
528af3a1098e718059000392,丰田(一汽) 兰德酷路泽 4.0L 12/07 -> 02/12,52a89b81098e71b2e5000836,一汽丰田 兰德酷路泽  4.0L  2007-
528af3a1098e71805900039c,丰田(一汽) 兰德酷路泽 4.7L 12/07 -> 02/12,52a89b81098e71b2e5000837,一汽丰田 兰德酷路泽  4.7L  2007-
528af3a1098e7180590003a7,丰田(一汽) 威驰 1.5L 10/02 -> 08/06,52a89b7b098e71b2e500080f,一汽丰田 威驰  1.5L 2003-2006
52945536098e7144f900027c,丰田(一汽) 威驰 1.3L 10/02->08/06,52a89b7b098e71b2e500080c,一汽丰田 威驰  1.3L 2004-2006
528af3a1098e7180590003b0,丰田(一汽) 威驰 1.3L 10/08 -> ,52a89b7c098e71b2e5000810,一汽丰田 威驰 新 1.3L 2008-
528af3a1098e7180590003b6,丰田(一汽) 威驰 1.6L 10/08 -> ,52a89b7c098e71b2e5000813,一汽丰田 威驰 新 1.6L 2008-
528af3a2098e7180590003d0,丰田(一汽) 普瑞斯 1.8 hybrid 12/11 -> ,52a89b80098e71b2e5000830,一汽丰田 普锐斯  1.8L油电混合 2012-
528af3a2098e7180590003ea,丰田(一汽) 锐志 2.5L 10/05 -> 09/10,52a89b7e098e71b2e500081e,一汽丰田 锐志  2.5L 2005-2010
528af3a2098e7180590003f0,丰田(一汽) 锐志 3.0L 10/05 -> 09/10,52a89b7e098e71b2e5000822,一汽丰田 锐志  3.0L 2005-2010
52a89b81098e71b2e500083b,广汽丰田 凯美瑞 06款 200G 2006-2011,528af3a2098e7180590003f9,丰田(广州) 凯美瑞 2.0L 06/06 -> 12/11
52a89b81098e71b2e500083e,广汽丰田 凯美瑞 06款 240V 2006-2011,528af3a2098e718059000401,丰田(广州) 凯美瑞 2.4L 06/06 -> 12/11
52a89b81098e71b2e500083f,广汽丰田 凯美瑞 06款 240E 2006-2011,528af3a2098e718059000412,丰田(广州) 凯美瑞 2.4L 03/10 -> 12/11
52a89b82098e71b2e5000841,广汽丰田 凯美瑞 12款 骏 2.0S 2011-,52945537098e7144f90002c7,丰田(广州) 凯美瑞 2.0L 12/11->
52a89b82098e71b2e5000842,广汽丰田 凯美瑞 12款 尊 2.5L 2011-,528af3a2098e718059000409,丰田(广州) 凯美瑞 2.5L 12/11 -> 
52a89b83098e71b2e5000848,广汽丰田 雅力士 09款 1.3L 2008-2010,528af3a2098e71805900043f,丰田(广州) 雅力士 1.3L 06/08 -> 09/10
